State,Employer_Name,Occupation
ALABAMA,SEUNG KWANG LLC,Aerospace
ALABAMA,HANA FACTORY AUTOMATION CORPORATION,Aerospace
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"RESOURCE MANAGEMENT SERVICE, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
ALABAMA,"KOCH FOODS OF ALABAMA, LLC",Agribusiness
