DECISION_DATE,CASE_STATUS,CLASS OF ADMISSION
23-Jan-09,Certified-Expired,H-1B
9-Feb-09,Withdrawn,H-1B
2-Apr-09,Certified-Expired,H-1B
2-Apr-09,Certified-Expired,H-1B
6-May-09,Certified,H-1B
9-Apr-09,Certified,H-1B
10-Apr-09,Certified,H-1B
9-Apr-09,Certified,H-1B
15-Apr-09,Certified,H-1B
29-Apr-09,Certified,H-1B
6-May-09,Certified,H-1B
7-Jan-09,Withdrawn,H-1B
17-Sep-09,Certified,H-1B
7-May-09,Certified,H-1B
24-Nov-08,Certified-Expired,H-1B
24-Oct-08,Certified-Expired,H-1B
11-Mar-09,Certified-Expired,H-1B
9-Jun-09,Certified,H-1B
21-Jan-09,Certified-Expired,H-1B
17-Apr-09,Certified,H-1B
16-Jun-09,Certified,H-1B
31-Mar-09,Certified-Expired,H-1B
13-May-09,Certified,H-1B
27-Apr-09,Certified,H-1B
31-Jul-09,Certified,H-1B
20-Mar-09,Certified-Expired,H-1B
31-Mar-09,Certified-Expired,H-1B
15-Jun-09,Certified,H-1B
27-Oct-08,Certified-Expired,H-1B
20-Jan-09,Certified-Expired,H-1B
27-Mar-09,Certified-Expired,H-1B
24-Feb-09,Certified-Expired,H-1B
4-Mar-09,Withdrawn,H-1B
1-Jun-09,Certified,H-1B
26-Nov-08,Certified-Expired,H-1B
2-Oct-08,Certified-Expired,H-1B
23-Jan-09,Certified-Expired,H-1B
18-Jun-09,Certified,H-1B
3-Jun-09,Certified,H-1B
8-Jun-09,Certified,H-1B
19-Mar-09,Certified-Expired,H-1B
23-Apr-09,Certified,H-1B
9-Jun-09,Certified,H-1B
25-Jun-09,Certified,H-1B
10-Jun-09,Certified,H-1B
28-Apr-09,Certified,H-1B
1-Jun-09,Certified,H-1B
17-Apr-09,Certified,H-1B
25-Mar-09,Certified-Expired,H-1B
27-Mar-09,Certified-Expired,H-1B
13-Apr-09,Certified,H-1B
17-Sep-09,Certified,H-1B
17-Sep-09,Certified,H-1B
4-Jun-09,Certified,H-1B
7-May-09,Certified,H-1B
4-Dec-08,Withdrawn,H-1B
4-Sep-09,Certified,H-1B
18-Sep-09,Certified,H-1B
29-Sep-09,Certified,H-1B
18-Sep-09,Certified,H-1B
6-Aug-09,Withdrawn,H-1B
18-Sep-09,Certified,H-1B
18-Sep-09,Certified,H-1B
9-Oct-08,Certified-Expired,H-1B
7-Oct-08,Certified-Expired,H-1B
