DECISION_DATE,CASE_STATUS,CLASS_OF_ADMISSION
25-Apr-08,CERTIFIED,H-1B
9-May-08,CERTIFIED,H-1B
29-Aug-08,CERTIFIED,H-1B
10-Jun-08,CERTIFIED,H-1B
26-Oct-07,CERTIFIED-EXPIRED,H-1B
13-Nov-07,CERTIFIED-EXPIRED,H-1B
17-Jun-08,CERTIFIED,H-1B
21-Mar-08,CERTIFIED-EXPIRED,H-1B
22-Feb-08,CERTIFIED-EXPIRED,H-1B
26-Dec-07,DENIED,H-1B
19-Nov-07,WITHDRAWN,H-1B
11-Jun-08,CERTIFIED,H-1B
30-May-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
4-Apr-08,CERTIFIED-EXPIRED,H-1B
26-Oct-07,CERTIFIED-EXPIRED,H-1B
8-Jul-08,CERTIFIED,H-1B
12-Jun-08,CERTIFIED,H-1B
11-Jun-08,CERTIFIED,H-1B
29-May-08,CERTIFIED,H-1B
9-May-08,CERTIFIED,H-1B
8-May-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
14-Apr-08,CERTIFIED,H-1B
4-Apr-08,CERTIFIED-EXPIRED,H-1B
3-Apr-08,CERTIFIED-EXPIRED,H-1B
19-Mar-08,CERTIFIED-EXPIRED,H-1B
13-Feb-08,DENIED,H-1B
5-Feb-08,DENIED,H-1B
24-Jan-08,CERTIFIED-EXPIRED,H-1B
11-Jan-08,CERTIFIED-EXPIRED,H-1B
11-Jan-08,CERTIFIED-EXPIRED,H-1B
11-Jan-08,CERTIFIED-EXPIRED,H-1B
9-Jan-08,CERTIFIED-EXPIRED,H-1B
18-Dec-07,CERTIFIED-EXPIRED,H-1B
12-Dec-07,CERTIFIED-EXPIRED,H-1B
15-Nov-07,CERTIFIED-EXPIRED,H-1B
1-Nov-07,CERTIFIED-EXPIRED,H-1B
26-Oct-07,WITHDRAWN,H-1B
21-Nov-07,CERTIFIED-EXPIRED,H-1B
9-Sep-08,CERTIFIED,H-1B
9-Sep-08,CERTIFIED,H-1B
26-Aug-08,CERTIFIED,H-1B
14-May-08,CERTIFIED,H-1B
14-May-08,CERTIFIED,H-1B
7-May-08,CERTIFIED,H-1B
16-Apr-08,CERTIFIED,H-1B
1-Feb-08,DENIED,H-1B
29-Aug-08,CERTIFIED,H-1B
24-Jun-08,CERTIFIED,H-1B
15-Apr-08,CERTIFIED,H-1B
10-Oct-07,CERTIFIED-EXPIRED,H-1B
9-May-08,CERTIFIED,H-1B
27-May-08,CERTIFIED,H-1B
29-Aug-08,CERTIFIED,H-1B
8-Aug-08,CERTIFIED,H-1B
23-Jun-08,CERTIFIED,H-1B
21-Apr-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
18-Apr-08,CERTIFIED,H-1B
17-Apr-08,CERTIFIED,H-1B
15-Apr-08,CERTIFIED,H-1B
11-Apr-08,CERTIFIED,H-1B
9-Apr-08,CERTIFIED,H-1B
12-Jun-08,WITHDRAWN,H-1B
2-Apr-08,CERTIFIED-EXPIRED,H-1B
2-Apr-08,CERTIFIED-EXPIRED,H-1B
31-Mar-08,CERTIFIED-EXPIRED,H-1B
28-Mar-08,CERTIFIED-EXPIRED,H-1B
4-Mar-08,CERTIFIED-EXPIRED,H-1B
15-Aug-08,CERTIFIED,H-1B
11-Aug-08,CERTIFIED,H-1B
11-Jun-08,CERTIFIED,H-1B
16-Oct-07,CERTIFIED-EXPIRED,H-1B
26-Sep-08,CERTIFIED,H-1B
10-Sep-08,CERTIFIED,H-1B
22-Aug-08,CERTIFIED,H-1B
23-Jun-08,CERTIFIED,H-1B
10-Jun-08,CERTIFIED,H-1B
10-Apr-08,CERTIFIED,H-1B
10-Mar-08,CERTIFIED-EXPIRED,H-1B
28-Feb-08,DENIED,H-1B
20-Nov-07,CERTIFIED-EXPIRED,H-1B
29-Oct-07,CERTIFIED-EXPIRED,H-1B
19-Oct-07,CERTIFIED-EXPIRED,H-1B
12-Oct-07,CERTIFIED-EXPIRED,H-1B
8-Aug-08,CERTIFIED,H-1B
18-Jun-08,CERTIFIED,H-1B
6-Jun-08,CERTIFIED,H-1B
5-Jun-08,CERTIFIED,H-1B
5-Jun-08,CERTIFIED,H-1B
27-May-08,CERTIFIED,H-1B
20-May-08,CERTIFIED,H-1B
1-May-08,CERTIFIED,H-1B
7-Apr-08,CERTIFIED,H-1B
14-Feb-08,CERTIFIED-EXPIRED,H-1B
