country,f1,h1b,Total
Algeria,102,17,"5,882"
Angola,579,2,"5,678"
Benin,219,5,"1,662"
Botswana,73,13,"1,273"
Burkina Faso,378,12,"1,967"
Burundi,88,2,999
Cameroon,797,67,"7,579"
Cape Verde,40,1,"1,835"
Central African Republic,25,0,248
Chad,34,3,609
Comoros,1,0,130
"Congo, Rep. of the (Congo Brazzaville)",141,1,"1,664"
"Congo, Dem. Rep. of the (Congo Kinshasa)",272,13,"3,825"
Cote d'Ivoire,320,23,"2,689"
Djibouti,7,0,576
Egypt,"1,049",273,"45,449"
Equatorial Guinea,142,0,"1,027"
Eritrea,73,2,762
Ethiopia,769,35,"10,950"
Gabon,188,10,"1,392"
"Gambia, The",350,3,"1,972"
Ghana,783,170,"13,138"
Guinea,28,6,"1,531"
Guinea-Bissau,5,0,132
Kenya,"1,144",219,"14,486"
Lesotho,10,1,281
Liberia,88,3,"2,107"
Libya,530,9,"2,494"
Madagascar,63,13,"1,200"
Malawi,55,9,"1,126"
Mali,225,6,"3,039"
Mauritania,42,3,871
Mauritius,57,27,"2,439"
Morocco,740,69,"17,559"
Mozambique,40,3,"1,313"
Namibia,38,7,"1,266"
Niger,97,6,995
Nigeria,"3,377",509,"63,503"
Rwanda,366,7,"2,078"
Sao Tome and Principe,2,0,81
Senegal,371,54,"4,775"
Seychelles,6,1,184
Sierra Leone,47,11,"1,971"
Somalia,15,0,144
South Africa,728,378,"60,152"
South Sudan,5,0,73
Sudan,132,19,"3,938"
Swaziland,56,5,438
Tanzania,433,48,"5,928"
Togo,121,7,"1,452"
Tunisia,285,16,"5,069"
Uganda,446,34,"5,458"
Zambia,153,20,"2,512"
Zimbabwe,451,102,"5,769"
Afghanistan,205,8,"3,254"
Bahrain,195,4,"3,534"
Bangladesh,971,163,"11,238"
Bhutan,52,3,486
Brunei,16,2,375
Burma,545,40,"6,773"
Cambodia,218,12,"3,212"
China - mainland,"153,026","10,849","945,040"
China - Taiwan,"11,200","1,705","149,731"
Hong Kong S.A.R.,"2,681",269,"43,714"
India,"25,649","72,438","554,267"
Indonesia,"2,275",674,"62,434"
Iran,"2,475",170,"23,864"
Iraq,292,11,"8,096"
Israel,999,774,"137,645"
Japan,"16,811","2,054","71,218"
Jordan,891,208,"18,004"
